title,session_area,authors,affiliation,status,rating,avg_rating,openreview_urls,neurips_urls,all_urls,openreview_id,neurips_id,name,norm_title_nj,neurips_abstract,neurips_event_type,neurips_session,neurips_location,neurips_starttime,neurips_endtime,neurips_virtualsite_url,neurips_paper_url,neurips_decision,neurips_poster_position
"Civic Machines Lab, TUM Think Tank, Technical University of Munich (BTF)",Workshop,Cheng Yu,,Accepted,,,,https://neurips.cc/virtual/2025/workshop/128337,https://neurips.cc/virtual/2025/workshop/128337,,128337,"Civic Machines Lab, TUM Think Tank, Technical University of Munich (BTF)","civic machines lab, tum think tank, technical university of munich (btf)",,Workshop,Workshop,,,,https://neurips.cc/virtual/2025/workshop/128337,https://neurips.cc/virtual/2025/workshop/128337,,
"Data Privacy, Memorization, & Legal Implications in  Generative AI: A Practical Guide",Tutorial,"Pratyush Maini, Joseph C. Gratz, A. Feder Cooper",,Accepted,,,,https://neurips.cc/virtual/2025/109588,https://neurips.cc/virtual/2025/109588,,109588,"Data Privacy, Memorization, & Legal Implications in  Generative AI: A Practical Guide","data privacy, memorization, & legal implications in generative ai: a practical guide",,Tutorial,Tutorial,Exhibit Hall F,2025-12-02T13:30:00,,https://neurips.cc/virtual/2025/109588,https://neurips.cc/virtual/2025/109588,,
Data on the Brain and Mind,Workshop,"Catherine Ji, Vivek Myers, Archer Wang, Benjamin Eysenbach, Jenelle Feather, Erin Grant",,Accepted,,,,https://neurips.cc/virtual/2025/workshop/109557,https://neurips.cc/virtual/2025/workshop/109557,,109557,Data on the Brain and Mind,data on the brain and mind,,Workshop,Workshop,Upper Level Room 10,2025-12-07T08:00:00,,https://neurips.cc/virtual/2025/workshop/109557,https://neurips.cc/virtual/2025/workshop/109557,,
Deep Learning for Code in the Agentic Era,Workshop,"Zijian Wang, Giovanni Zappella, Qian Liu, Zora Wang, Wen-Ding Li, Wasi Uddin Ahmad, Binyuan Hui",,Accepted,,,,https://neurips.cc/virtual/2025/workshop/109562,https://neurips.cc/virtual/2025/workshop/109562,,109562,Deep Learning for Code in the Agentic Era,deep learning for code in the agentic era,"Deep learning for code has progressed from focused tasks—such as completion, repair, synthesis, and explanation to tackling complex, end-to-end software–engineering problems.  A key recent breakthrough is the rise of coding agents. Unlike single-shot models, these systems plan, reason, explore, and invoke external tools to assist throughout the software-development lifecycle: adding features, refactoring, debugging, finding vulnerabilities, optimizing performance, summarizing code, and answering repository-level questions.  Their growing versatility demands rigorous evaluation and a deeper understanding of their capabilities, limits, risks, and broader social impact.<br><br>Building on momentum from both academia and industry (e.g. Google, OpenAI, Anthropic, SWE-Agent, OpenHands), we propose the 4th Deep Learning for Code (DL4C) workshop with a dedicated focus on coding agents. This workshop will provide a timely forum where researchers and practitioners can design and stress-test robust coding agents, discover novel applications and emergent behaviors, establish principled benchmarks and evaluation methods, study human–agent collaboration at scale, and advance the responsible, safe deployment of autonomous coding tools.",Workshop,Workshop,"Exhibit Hall G,H",2025-12-06T08:00:00,,https://neurips.cc/virtual/2025/workshop/109562,https://neurips.cc/virtual/2025/workshop/109562,,
Demystifying depth: Principles of learning in deep neural networks,Invited Talk,Andrew Saxe,,Accepted,,,,https://neurips.cc/virtual/2025/invited-talk/129133,https://neurips.cc/virtual/2025/invited-talk/129133,,129133,Demystifying depth: Principles of learning in deep neural networks,demystifying depth: principles of learning in deep neural networks,"Deep neural networks have revolutionized artificial intelligence, yet their inner workings remain poorly understood. This talk presents mathematical analyses of the nonlinear dynamics of learning in several solvable deep network models, offering theoretical insights into the role of depth. These models reveal how learning algorithms, data structure, initialization schemes, and architectural choices interact to produce hidden representations that afford complex generalization behaviors. A recurring theme across these analyses is a neural race: competing pathways within a deep network vie to explain the data, with an implicit bias toward shared representations. These shared representations in turn shape the network’s capacity for systematic generalization, multitasking, and transfer learning. I will show how such principles manifest across diverse architectures—including feedforward, recurrent, and linear attention networks. Together, these results provide analytic foundations for understanding how environmental statistics, network architecture, and learning dynamics jointly structure the emergence of neural representations and behavior.",Invited Talk,Invited Talk,Don Alberto 1-4,2025-12-05T14:30:00,,https://neurips.cc/virtual/2025/invited-talk/129133,https://neurips.cc/virtual/2025/invited-talk/129133,,
Deep Learning IndabaX Uganda (BTF),Workshop,Bruno Ssekiwere,,Accepted,,,,https://neurips.cc/virtual/2025/workshop/128357,https://neurips.cc/virtual/2025/workshop/128357,,128357,Deep Learning IndabaX Uganda (BTF),deep learning indabax uganda (btf),,Workshop,Workshop,,,,https://neurips.cc/virtual/2025/workshop/128357,https://neurips.cc/virtual/2025/workshop/128357,,
Differentiable Learning of Combinatorial Algorithms: From Theory To Practice,Workshop,"Cathy Wu, Nikolaos Karalias, Yusu Wang, Indradyumna Roy, Abir De",,Accepted,,,,https://neurips.cc/virtual/2025/workshop/109535,https://neurips.cc/virtual/2025/workshop/109535,,109535,Differentiable Learning of Combinatorial Algorithms: From Theory To Practice,differentiable learning of combinatorial algorithms: from theory to practice,,Workshop,Workshop,Upper Level Room 25ABC,2025-12-06T08:00:00,,https://neurips.cc/virtual/2025/workshop/109535,https://neurips.cc/virtual/2025/workshop/109535,,
Earth Species Project (BTF),Workshop,Brittany Solano,,Accepted,,,,https://neurips.cc/virtual/2025/workshop/131035,https://neurips.cc/virtual/2025/workshop/131035,,131035,Earth Species Project (BTF),earth species project (btf),,Workshop,Workshop,,,,https://neurips.cc/virtual/2025/workshop/131035,https://neurips.cc/virtual/2025/workshop/131035,,
"Efficient Transformers: State of the art in pruning, sparse attention, and transformer funneling",Tutorial,"Lucas Spangher, Alejandro F F Queiruga, Zachary Gleicher, Ramy Eskander",,Accepted,,,,https://neurips.cc/virtual/2025/128790,https://neurips.cc/virtual/2025/128790,,128790,"Efficient Transformers: State of the art in pruning, sparse attention, and transformer funneling","efficient transformers: state of the art in pruning, sparse attention, and transformer funneling","Transformer architectures consume the lionshare of computational budgets associated with today’s most powerful language and vision models, making research into greater computational efficiency a hot and essential direction. Our proposed tutorial surveys the bleeding edge of three complementary research threads that together comprise a significant part of the current industrial toolkit for achieving computational efficiency in Transformers: (1) pruning, the structured or unstructured removal of weights, layers and heads; (2) sparse attention & routing, including block, sliding-window, locality-sensitive hashing; and (3) funneling, which pools intermediate representations to shorten sequences through depth. We will then feature an expert industrial and academic panel of speakers from Google Deepmind, MIT, UC Berkeley, and Columbia, hearing about the latest trends seen in top industrial labs. Attendees will leave with actionable recipes for building sub-10 B-parameter models that match or exceed dense baselines on language, vision and multi-modal benchmarks.<br> <br> The tutorial targets researchers and practitioners who build or deploy Transformer models and assumes familiarity with basic deep-learning concepts but not with any specific efficiency method. All slides and publication materials will be released under a permissive license.",Tutorial,Tutorial,Don Alberto 2,2025-12-02T09:30:00,,https://neurips.cc/virtual/2025/128790,https://neurips.cc/virtual/2025/128790,,
"Dynamics at the Frontiers of Optimization, Sampling, and Games",Workshop,"Tatjana Chavdarova, Dilsad Er, Niao He, Michael Jordan, Eric Moulines, Michael Muehlebach, Molei Tao, Andre Wibisono",,Accepted,,,,https://neurips.cc/virtual/2025/workshop/109541,https://neurips.cc/virtual/2025/workshop/109541,,109541,"Dynamics at the Frontiers of Optimization, Sampling, and Games","dynamics at the frontiers of optimization, sampling, and games",,Workshop,Workshop,Upper Level Room 7,2025-12-06T08:00:00,,https://neurips.cc/virtual/2025/workshop/109541,https://neurips.cc/virtual/2025/workshop/109541,,
Demystifying depth: Principles of learning in deep neural networks,Invited Talk,Andrew Saxe,,Accepted,,,,https://neurips.cc/virtual/2025/invited-talk/109602,https://neurips.cc/virtual/2025/invited-talk/109602,,109602,Demystifying depth: Principles of learning in deep neural networks,demystifying depth: principles of learning in deep neural networks,"Deep neural networks have revolutionized artificial intelligence, yet their inner workings remain poorly understood. This talk presents mathematical analyses of the nonlinear dynamics of learning in several solvable deep network models, offering theoretical insights into the role of depth. These models reveal how learning algorithms, data structure, initialization schemes, and architectural choices interact to produce hidden representations that afford complex generalization behaviors. A recurring theme across these analyses is a neural race: competing pathways within a deep network vie to explain the data, with an implicit bias toward shared representations. These shared representations in turn shape the network’s capacity for systematic generalization, multitasking, and transfer learning. I will show how such principles manifest across diverse architectures—including feedforward, recurrent, and linear attention networks. Together, these results provide analytic foundations for understanding how environmental statistics, network architecture, and learning dynamics jointly structure the emergence of neural representations and behavior.",Invited Talk,Invited Talk,"Exhibit Hall F,G,H",2025-12-05T14:30:00,,https://neurips.cc/virtual/2025/invited-talk/109602,https://neurips.cc/virtual/2025/invited-talk/109602,,
Energy and Power as First-Class ML Design Metrics,Tutorial,"Jae-Won Chung, Ahmet Inci, Ruofan Wu, Bhargava Gopireddy",,Accepted,,,,https://neurips.cc/virtual/2025/109589,https://neurips.cc/virtual/2025/109589,,109589,Energy and Power as First-Class ML Design Metrics,energy and power as first-class ml design metrics,,Tutorial,Tutorial,Upper Level Ballroom 6AB,2025-12-02T09:30:00,,https://neurips.cc/virtual/2025/109589,https://neurips.cc/virtual/2025/109589,,
Embodied World Models for Decision Making,Workshop,"Yunbo Wang, Qi Wang, Mengyue Yang, Shenyuan Gao, Huazhe Xu, Xin Jin, Mingqi Yuan, Nedko Savov, Guozheng Ma, Bo Liu, Siheng Chen, Yongquan Hu, Jenny Zhang, Nick Hansen, Minting Pan, Luc V Gool",,Accepted,,,,https://neurips.cc/virtual/2025/workshop/109532,https://neurips.cc/virtual/2025/workshop/109532,,109532,Embodied World Models for Decision Making,embodied world models for decision making,"World models infer and predict real-world dynamics by modeling the external environment, and have become a cornerstone of embodied artificial intelligence. They have powered recent progress in decision-making and planning for interacting agents. This workshop aims to bring together researchers working at the intersection of generative modeling, reinforcement learning, computer vision, and robotics to explore the next generation of embodied world models—models that enable agents to understand, predict, and interact with the world through learned models. By focusing on embodiment and decision-making, this workshop seeks to advance world models beyond passive prediction, toward active, goal-driven interaction with the physical and virtual world. By emphasizing embodiment and decision-making, we aim to move beyond passive sequence prediction toward goal-directed interaction with both physical and simulated worlds.",Workshop,Workshop,Upper Level Room 30A-E,2025-12-06T08:00:00,,https://neurips.cc/virtual/2025/workshop/109532,https://neurips.cc/virtual/2025/workshop/109532,,
"Evaluating the Evolving LLM Lifecycle:  Benchmarks, Emergent Abilities, and Scaling",Workshop,"Berivan Isik, Beyza Ermis, Nithya Attaluri, Rishi Bommasani, Marius Hobbhahn, Yangjun Ruan, Diyi Yang",,Accepted,,,,https://neurips.cc/virtual/2025/workshop/109549,https://neurips.cc/virtual/2025/workshop/109549,,109549,"Evaluating the Evolving LLM Lifecycle:  Benchmarks, Emergent Abilities, and Scaling","evaluating the evolving llm lifecycle: benchmarks, emergent abilities, and scaling",,Workshop,Workshop,Upper Level Room 2,2025-12-07T08:00:00,,https://neurips.cc/virtual/2025/workshop/109549,https://neurips.cc/virtual/2025/workshop/109549,,
First Workshop on LLM Persona Modeling,Workshop,"Yunze Xiao, Shu Yang, Zhuang Li, Lucio La Cava, Jen-Tse Huang, Andrea Tagarelli, Xintao Wang, Marco Guerini, Jiarui Liu, Jindong Wang, Mona Diab, Maarten Sap",,Accepted,,,,https://neurips.cc/virtual/2025/workshop/127829,https://neurips.cc/virtual/2025/workshop/127829,,127829,First Workshop on LLM Persona Modeling,first workshop on llm persona modeling,"Large language models (LLMs) are increasingly used to simulate human-like personas for applications in research, education, healthcare, and interactive AI systems. While such persona modeling creates opportunities for interdisciplinary innovation, it raises challenges around authenticity, consistency, bias, and ethical deployment. This workshop brings together perspectives from AI, psychology, cognitive science, and human–computer interaction to advance robust methods, standardized evaluation frameworks, and responsible practices for persona modeling in LLMs. Through invited talks, panels, posters, and discussions, the event will chart a roadmap for interdisciplinary collaboration and future research in this emerging area.",Workshop,Workshop,Don Alberto 2,2025-12-01T06:00:00,,https://neurips.cc/virtual/2025/workshop/127829,https://neurips.cc/virtual/2025/workshop/127829,,
Foundations of Reasoning in Language Models,Workshop,"Audrey Huang, Adam Block, Sadhika Malladi, Will Merrill, Tatsunori Hashimoto, Dylan J Foster, Akshay Krishnamurthy, Pavel Izmailov",,Accepted,,,,https://neurips.cc/virtual/2025/workshop/109559,https://neurips.cc/virtual/2025/workshop/109559,,109559,Foundations of Reasoning in Language Models,foundations of reasoning in language models,"Our workshop’s goal is to **advance foundational understanding, principled innovations, and rigorous scientific evaluations for reasoning in language models**. These advancements are built upon theoretical analyses and controlled empirical studies that illuminate how reasoning emerges, where it fails, and how it can be systematically improved.<br><br>We want to foster dialogue between communities with complementary strengths---those building theoretical models of reasoning phenomena, those designing experiments that reveal its emergence or failure in practice, and those proposing algorithmic developments that advance reasoning---around **three primary questions**:<br><br>1. How are language models able to solve complex tasks, and what do they still struggle with?<br><br>2. What fundamental challenges stand in the way of advancing reasoning capabilities?<br><br>3. What algorithmic innovations can overcome these obstacles?",Workshop,Workshop,Upper Level Room 33ABC,2025-12-07T08:00:00,,https://neurips.cc/virtual/2025/workshop/109559,https://neurips.cc/virtual/2025/workshop/109559,,
Foundations of Imitation Learning: From Language Modeling to Continuous Control,Tutorial,"Adam Block, Dylan Foster, Max Simchowitz",,Accepted,,,,https://neurips.cc/virtual/2025/109590,https://neurips.cc/virtual/2025/109590,,109590,Foundations of Imitation Learning: From Language Modeling to Continuous Control,foundations of imitation learning: from language modeling to continuous control,,Tutorial,Tutorial,Upper Level Ballroom 20AB,2025-12-02T13:30:00,,https://neurips.cc/virtual/2025/109590,https://neurips.cc/virtual/2025/109590,,
From Benchmarks to Problems - A Perspective on Problem Finding in AI,Invited Talk,Kyunghyun Cho,,Accepted,,,,https://neurips.cc/virtual/2025/invited-talk/109605,https://neurips.cc/virtual/2025/invited-talk/109605,,109605,From Benchmarks to Problems - A Perspective on Problem Finding in AI,from benchmarks to problems - a perspective on problem finding in ai,"During the past 15 years or so, I have worked on a series of seemingly distinct but eventually related problems, including machine learning algorithms, generative modeling with neural networks, machine translation, language modeling, medical imaging, a bit of healthcare, protein modeling and a bit of drug discovery. I chose to work on some of these problems intentionally, while it was pure serendipity that I worked on some others. It was only in hindsight that these seemingly different problems turned out to be closely related to each other from both technical, social and personal perspectives. In this talk, I plan to do my own retrospective on my own choices, be them intentional or not, on these problems and share with you my thoughts what our own discipline, which is sometimes called computer science, data science, machine learning or artificial intelligence, is.",Invited Talk,Invited Talk,"Exhibit Hall F,G,H",2025-12-05T08:30:00,,https://neurips.cc/virtual/2025/invited-talk/109605,https://neurips.cc/virtual/2025/invited-talk/109605,,
From Benchmarks to Problems - A Perspective on Problem Finding in AI,Invited Talk,Kyunghyun Cho,,Accepted,,,,https://neurips.cc/virtual/2025/invited-talk/129135,https://neurips.cc/virtual/2025/invited-talk/129135,,129135,From Benchmarks to Problems - A Perspective on Problem Finding in AI,from benchmarks to problems - a perspective on problem finding in ai,"During the past 15 years or so, I have worked on a series of seemingly distinct but eventually related problems, including machine learning algorithms, generative modeling with neural networks, machine translation, language modeling, medical imaging, a bit of healthcare, protein modeling and a bit of drug discovery. I chose to work on some of these problems intentionally, while it was pure serendipity that I worked on some others. It was only in hindsight that these seemingly different problems turned out to be closely related to each other from both technical, social and personal perspectives. In this talk, I plan to do my own retrospective on my own choices, be them intentional or not, on these problems and share with you my thoughts what our own discipline, which is sometimes called computer science, data science, machine learning or artificial intelligence, is.",Invited Talk,Invited Talk,Don Alberto 1-4,2025-12-05T08:30:00,,https://neurips.cc/virtual/2025/invited-talk/129135,https://neurips.cc/virtual/2025/invited-talk/129135,,
Foundation Models for the Brain and Body Workshop,Workshop,"Mehdi Azabou, Cole Hurwitz, Sophia Sanborn, Sana Tonekaboni, Paul Scotti, Nanda H Krishna, Pierre Guetschel",,Accepted,,,,https://neurips.cc/virtual/2025/workshop/109571,https://neurips.cc/virtual/2025/workshop/109571,,109571,Foundation Models for the Brain and Body Workshop,foundation models for the brain and body workshop,"Our brains and bodies speak a rich and complex biological language of neural and physiological signals, a language that AI models are increasingly capable of deciphering as large-scale datasets become available. Recent advances in brain interfacing and wearable technologies, including EEG, intracortical electrophysiology, EMG, MEG, and ECG, have enabled the broad collection of these signals across real-world contexts and diverse populations. This growing wealth of data is driving a shift toward foundation models: large-scale, pretrained AI systems designed to learn from biosignals and generalize across diverse downstream applications, from brain-computer interfacing to health monitoring.<br><br>Realizing this potential, however, requires addressing the unique challenges that come with biosignal timeseries: they are noisy, heterogeneous, and collected under variable conditions across subjects, devices, and environments. To meet these challenges, this workshop brings together neuroscientists, biomedical engineers, wearable tech researchers, and machine learning experts advancing foundation model approaches. Through interdisciplinary dialogue, we aim to catalyze the next generation of AI models that can capture the complexity of the brain, body, and behavior at scale.",Workshop,Workshop,Upper Level Room 24ABC,2025-12-06T08:00:00,,https://neurips.cc/virtual/2025/workshop/109571,https://neurips.cc/virtual/2025/workshop/109571,,
From Tuning to Guarantees: Statistically Valid Hyperparameter Selection,Tutorial,Amirmohammad Farzaneh,,Accepted,,,,https://neurips.cc/virtual/2025/128794,https://neurips.cc/virtual/2025/128794,,128794,From Tuning to Guarantees: Statistically Valid Hyperparameter Selection,from tuning to guarantees: statistically valid hyperparameter selection,"""The performance and reliability of modern machine learning systems depend critically on hyperparameter selection. Whether tuning a large language model, configuring a vision pipeline, or deploying AI in safety-critical environments, the choice of hyperparameters is decisive. Current tuning strategies such as grid or random search and Bayesian optimization are powerful for empirical optimization but they do not provide statistical guarantees on the reliability of the selected configuration after deployment. This gap becomes critical when models must satisfy strict performance, safety, or fairness requirements.<br><br>This tutorial introduces a rigorous and practical framework that treats hyperparameter selection as a statistical testing problem. By constructing valid p- or e-values for candidate configurations and applying multiple hypothesis testing (MHT) procedures, practitioners can control deployment risk with finite-sample guarantees. We begin with the Learn-Then-Test (LTT) methodology for average-risk control and build up to multiple key extensions, such as controlling the quantile risk using quantile LTT (QLTT), multi-objective optimization through Pareto Testing (PT), incorporating prior information through the concept of reliability graphs, and data-efficient selection through adaptive LTT (aLTT). Throughout the tutorial, we emphasize conceptual clarity, plain-language explanations of assumptions, and hands-on demonstrations with minimal, reproducible notebooks.<br><br>Attendees will gain a drop-in toolkit for augmenting existing tuning workflows with statistically valid selection. They will learn how to formalize relevant risk functions, generate valid evidence, choose appropriate error-rate controls (FWER/FDR), and navigate the trade-offs between statistical conservatism and power under limited data. No prior expertise in multiple hypothesis testing is required.""",Tutorial,Tutorial,Don Alberto 3,2025-12-02T09:30:00,,https://neurips.cc/virtual/2025/128794,https://neurips.cc/virtual/2025/128794,,
Foundations of Tensor/Low-Rank Computations for AI,Tutorial,"Grigorios Chrysos, Evrim Acar, Antonio Vergari",,Accepted,,,,https://neurips.cc/virtual/2025/109591,https://neurips.cc/virtual/2025/109591,,109591,Foundations of Tensor/Low-Rank Computations for AI,foundations of tensor/low-rank computations for ai,,Tutorial,Tutorial,Upper Level Room 28A-E,2025-12-02T09:30:00,,https://neurips.cc/virtual/2025/109591,https://neurips.cc/virtual/2025/109591,,
Frontiers in Probabilistic Inference: Learning meets Sampling,Workshop,"Tara Akhound-Sadegh, Michael Albergo, Joey Bose, Marylou Gabrié, Louis Grenioux, Guan-Horng Liu, Kirill Neklyudov, Grant Rotskoff, Eva Smorodina, Alexander Tong",,Accepted,,,,https://neurips.cc/virtual/2025/workshop/109572,https://neurips.cc/virtual/2025/workshop/109572,,109572,Frontiers in Probabilistic Inference: Learning meets Sampling,frontiers in probabilistic inference: learning meets sampling,,Workshop,Workshop,Upper Level Room 7,2025-12-07T08:00:00,,https://neurips.cc/virtual/2025/workshop/109572,https://neurips.cc/virtual/2025/workshop/109572,,
"Explain AI Models: Methods and Opportunities in Explainable AI, Data-Centric AI, and Mechanistic Interpretability",Tutorial,"Shichang (Ray) Zhang, Himabindu Lakkaraju, Julius Adebayo",,Accepted,,,,https://neurips.cc/virtual/2025/109599,https://neurips.cc/virtual/2025/109599,,109599,"Explain AI Models: Methods and Opportunities in Explainable AI, Data-Centric AI, and Mechanistic Interpretability","explain ai models: methods and opportunities in explainable ai, data-centric ai, and mechanistic interpretability","Understanding AI system behavior has become critical for safety, trust, and effective deployment across diverse applications. Three major research communities have emerged to address this challenge through interpretability methods: Explainable AI focuses on feature attribution to understand which input features drive model decisions; Data-Centric AI emphasizes data attribution to analyze how training examples shape model behavior; and Mechanistic Interpretability examines component attribution to understand how internal model components contribute to outputs. These three branches share the goal of better understanding AI systems across different aspects and differ primarily in their perspectives rather than techniques. This tutorial begins with foundational concepts and historical context, providing essential background on why explainability matters and how the field has evolved since its early days. The first technical deep dive covers post hoc explanation methods, data-centric explanation techniques, mechanistic interpretability approaches, and presents a unified framework demonstrating that these methods share fundamental techniques such as perturbations, gradients, and local linear approximations. The second technical deep dive explores inherently interpretable models, clarifying concepts like reasoning (chain-of-thought) LLMs and self-explanatory LLMs in the context of explainability, and techniques for building inherently interpretable LLMs. We also showcase open source tools that make these methods accessible to practitioners. Furthermore, we highlight promising future research directions in interpretability research and the induced future directions in AI more broadly, with applications in model editing, steering, and regulation. Through comprehensive coverage of algorithms, real-world case studies, and practical guidance, attendees will gain both a deep technical understanding of state-of-the-art methods and practical skills to apply interpretability techniques effectively in AI applications.",Tutorial,Tutorial,"Exhibit Hall G,H",2025-12-02T09:30:00,,https://neurips.cc/virtual/2025/109599,https://neurips.cc/virtual/2025/109599,,
GPU-Accelerated and Scalable Optimization (ScaleOpt),Workshop,"Parth Nobel, Fangzhao Zhang, Maximilian Schaller, Alexandre Amice &#x27;&#x27;, Tobia Marcucci, Tetiana Parshakova, Stephen Boyd",,Accepted,,,,https://neurips.cc/virtual/2025/workshop/109554,https://neurips.cc/virtual/2025/workshop/109554,,109554,GPU-Accelerated and Scalable Optimization (ScaleOpt),gpu-accelerated and scalable optimization (scaleopt),"Recent advancements in GPU-based large-scale optimization have been remarkable. Recognizing the revolution in optimizing neural network weights via large-scale GPU-accelerated algorithms, the optimization community has been interested in developing general purpose GPU-accelerated optimizers for various families of classic optimization problems, including linear programming, general conic optimization, combinatorial optimization, and more specific problem families such as flow optimization and optimal transport. Beyond deploying GPUs directly at classical problems, current frontier AI tools—including large language models (LLMs)—are being deployed to solve optimization problem. Various works have used neural networks to solve mixed integer problems, linear or quadratic programs, general combinatorial optimization problems, and more specific optimization problems such as LASSO and robust PCA. In this workshop, we aim to provide a platform for interested researchers to engage with each other on recent breakthroughs and current bottlenecks in designing large-scale GPU-based optimizers and synergizing AI systems with solving optimization problems.",Workshop,Workshop,Upper Level Room 9,2025-12-07T08:00:00,,https://neurips.cc/virtual/2025/workshop/109554,https://neurips.cc/virtual/2025/workshop/109554,,
Generative AI in Finance,Workshop,"Renyuan Xu, Randall Balestriero, Jiawei He, Yongjae Lee, Zhangyang &quot;Atlas&quot; Wang, Yu Yu, Yinbin Han",,Accepted,,,,https://neurips.cc/virtual/2025/workshop/109564,https://neurips.cc/virtual/2025/workshop/109564,,109564,Generative AI in Finance,generative ai in finance,"This workshop aims to foster cross-disciplinary collaboration at the intersection of generative AI and finance, a high-stakes domain where the integration of domain expertise is essential to the safe and effective deployment of machine learning technologies. Recent advances in generative models—ranging from large language models to diffusion and score-based generative architectures—have opened new frontiers for applications in finance, such as financial modeling, stress testing, scenario generation, automated financial services, and decision-making under uncertainty. <br><br>The workshop will highlight theoretical advances, practical implementations, new opportunities, and open challenges that arise when adapting generative AI to financial systems under unique constraints, such as data sparsity, regulatory requirements, and highly non-stationary and adversarial environments. By bringing together the computer science community, financial researchers, industry practitioners, and regulators, we aim to catalyze interdisciplinary dialogue and accelerate the responsible development of generative AI tailored to the needs of finance and risk management.",Workshop,Workshop,Upper Level Room 3,2025-12-06T08:00:00,,https://neurips.cc/virtual/2025/workshop/109564,https://neurips.cc/virtual/2025/workshop/109564,,
Harvard (BTF),Workshop,Guanxiong Luo,,Accepted,,,,https://neurips.cc/virtual/2025/workshop/128081,https://neurips.cc/virtual/2025/workshop/128081,,128081,Harvard (BTF),harvard (btf),,Workshop,Workshop,,,,https://neurips.cc/virtual/2025/workshop/128081,https://neurips.cc/virtual/2025/workshop/128081,,
GenProCC: 1st Workshop on Generative and Protective AI for Content Creation,Workshop,"Wei-Yao Wang, Takashi Shibuya, vali lalioti, Qiyu Wu, Wei Wang, Shusuke Takahashi, Yuki Mitsufuji",,Accepted,,,,https://neurips.cc/virtual/2025/workshop/109545,https://neurips.cc/virtual/2025/workshop/109545,,109545,GenProCC: 1st Workshop on Generative and Protective AI for Content Creation,genprocc: 1st workshop on generative and protective ai for content creation,"Recent advancements in generative AI (GenAI) have empowered machines to create high-quality content across diverse modalities - text, image, audio, and video - with impressive fluency and creativity. From GPT-4o and Stable Diffusion to Sora and MMAudio, the explosion of X-to-X generation (e.g., text-to-image, video-to-audio) is unlocking new frontiers in science, education, entertainment, and art.

While GenAI has shown significant potential in creative applications (e.g., music, films, arts), these breakthroughs also raise pressing concerns related to safety, copyright, and ethical use. Generative models can be exploited to spread misinformation, violate intellectual property rights, or diminish human agency in creative processes. As such, there is an increasing need to balance innovation with protection, ensuring that AI-powered creative tools are used responsibly and ethically.

This workshop, GenProCC: Generative and Protective AI for Content Creation, brings together researchers, creators, and practitioners at the intersection of content generation and IP protection. By uniting the generative AI and creator communities, the GenProCC workshop aims to explore the latest advances, challenges, and opportunities in the rapidly evolving field.",Workshop,Workshop,Upper Level Room 23ABC,2025-12-06T08:00:00,,https://neurips.cc/virtual/2025/workshop/109545,https://neurips.cc/virtual/2025/workshop/109545,,
Hello (BTF),Workshop,Deborah Yuen,,Accepted,,,,https://neurips.cc/virtual/2025/workshop/130868,https://neurips.cc/virtual/2025/workshop/130868,,130868,Hello (BTF),hello (btf),,Workshop,Workshop,,,,https://neurips.cc/virtual/2025/workshop/130868,https://neurips.cc/virtual/2025/workshop/130868,,
"Geospatial Foundation Models: Overview, Application and Benchmarking",Tutorial,Bianca Zadrozny,,Accepted,,,,https://neurips.cc/virtual/2025/128793,https://neurips.cc/virtual/2025/128793,,128793,"Geospatial Foundation Models: Overview, Application and Benchmarking","geospatial foundation models: overview, application and benchmarking","Geospatial foundation models (GeoFMs) are a class of large-scale deep learning models, typically based on the transformer architecture, that are pre-trained on vast, diverse datasets of Earth Observation data to learn a general, transferable understanding of the Earth’s surface. These models help address long-standing challenges in Earth Observation by dramatically reducing the need for manually labeled data, handling vast and diverse data streams (e.g., optical, SAR, multispectral, LiDAR), and enabling robust performance across time, space, and sensor types. In this tutorial, we will give an overview of the recent advancements in GeoFMs, highlighting the main challenges in developing these models and differences from foundation models developed for other domains. We will also show practical examples of fine-tuning and inferencing GeoFMs for different downstream tasks using the TerraTorch open-source framework, which facilitates the use of publicly available GeoFMs such as SatMAE, Prithvi-EO, DOFA, Galileo and TerraMind. Finally, we will introduce best practices for systematic and reproducible benchmarking of GeoFMs using the TerraTorch Iterate plug-in and its integration with GEO-Bench.",Tutorial,Tutorial,Don Alberto 4,2025-12-02T09:30:00,,https://neurips.cc/virtual/2025/128793,https://neurips.cc/virtual/2025/128793,,
